product_id,qty,amount,stock_code
133,9,14.57,36239634
155,5,65.48,2820163
151,9,24.66,27006726
143,4,21.34,83036521
168,2,83.9,80142652
192,6,55.67,53234087
153,4,77.57,30928602
107,3,86.5,45734816
149,1,53.73,13834685
108,5,91.71,92548268
104,5,13,63931341
173,1,10.71,6666309
132,7,26.25,99504946
140,5,33.19,21249600
183,7,26.32,47746923
108,7,6.59,20484989
196,8,46.3,35270416
133,8,26.84,1290400
150,1,48.57,6481407
127,1,46.38,82560621
118,3,70.1,92318137
103,4,10.92,95596877
137,7,77.79,54751453
185,1,45.92,29738748
152,7,18.74,58560372
164,6,74.53,94859461
177,8,96.91,71802916
171,9,54.26,66481652
102,6,81.38,4409151
184,8,64.5,84752888
123,2,7.09,7396045
140,4,77.3,77562388
133,6,7.4,772105
160,1,5.71,27040546
157,4,12.06,93277563
189,9,74.54,42556787
102,1,81.26,60165879
131,4,73.35,5488605
108,5,96.51,22584977
115,9,88.05,31478175
118,4,69.69,34646045
147,9,74.19,70628425
127,1,70.57,55991551
185,7,89.63,33353487
150,1,44.95,70884265
181,7,15.31,60434982
199,9,32.54,81788057
181,8,21.32,11642220
169,7,14.44,29244072
120,7,54.95,76516740
161,4,30.04,6437251
114,6,8.25,48003155
128,1,51.47,55845083
195,7,53.81,14192920
152,3,39.98,9119031
110,5,6.96,88343587
171,4,93.37,177818
177,7,6.27,6100179
193,9,82.08,66080251
154,1,53.39,27329429
133,8,48.71,39116116
103,1,44.2,95264592
122,1,50.24,23921931
177,2,55.55,6311834
189,6,48.04,2175768
138,9,30.29,9975538
164,8,17.93,36106301
122,5,95.53,55852555
134,6,64.9,54104358
189,3,36.5,12011087
105,4,58.11,81261871
151,1,48.76,68360825
165,5,68.3,18709490
162,7,62.36,80411024
153,9,93.58,17279109
186,9,97.64,59275015
163,5,40.29,4903680
170,5,68.84,17622806
106,4,31.68,40989044
192,5,61.73,70699968
139,2,23.5,35282563
117,9,30.29,94015607
132,9,98.09,38629150
129,2,41.72,14317170
174,7,83.85,8578853
178,5,67.05,28460657
149,3,53.78,15398079
109,4,46.65,56624021
195,3,21.94,69207433
168,6,97.48,95592466
184,4,28.3,62452618
106,1,96.32,52805974
191,3,83,36073276
147,9,58.89,39935366
191,1,76.34,34618455
143,1,77.98,84489029
144,1,77.6,52839917
111,8,8.9,46790668
100,3,26.98,65705971
178,7,20.83,29838448
138,6,43.14,30395596
120,2,11.46,93567657
127,6,14.69,7042492
174,3,18.6,27028209
199,8,23.01,20991982
150,5,38.6,42344339
118,8,60.61,12462568
157,7,13.56,50579174
195,6,49.93,74314362
194,5,49.64,5709922
148,1,95.86,36359776
172,6,44.38,1070538
163,9,59.61,64012063
